                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6295,                 2.6001,                 1.2684,                0.46243,                0.25879,                0.23706,                0.10612,                 1.8104,                 1.8646,                 1.4671,               0.067019,             0.00033314,             0.00033314
                      2,                 1.6314,                 2.0635,                 1.2857,                0.22838,                0.35087,                0.22736,                0.10145,                 1.7803,                 1.8414,                 1.4006,               0.034016,             0.00066317,             0.00066317
                      3,                 1.6197,                 2.0564,                 1.2832,                0.21143,                0.32584,                0.20214,                0.09359,                 1.7791,                 1.7353,                 1.4332,              0.0010095,             0.00098991,             0.00098991
                      4,                 1.5974,                 1.9281,                 1.2795,                0.20096,                0.28748,                0.23602,                0.11091,                 1.7977,                 1.6813,                 1.4604,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.5645,                 1.8894,                 1.2572,                0.30064,                0.38466,                0.28745,                 0.1283,                 1.7574,                 1.6092,                 1.4066,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5491,                 1.8318,                 1.2278,                0.25085,                0.36943,                0.27043,                0.12711,                 1.7246,                 1.7046,                 1.3999,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.5167,                  1.789,                 1.2276,                0.26358,                0.39546,                0.26627,                0.12813,                 1.7443,                 1.5912,                 1.3883,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.5253,                  1.724,                 1.2262,                0.30459,                0.42303,                0.30958,                0.14481,                 1.7066,                 1.5224,                 1.3713,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.4979,                 1.7649,                  1.221,                0.32067,                0.35868,                  0.295,                0.14129,                 1.6931,                 1.5173,                 1.3534,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.4782,                 1.7065,                 1.2087,                 0.2985,                0.40388,                0.28575,                0.14173,                 1.7165,                 1.5155,                 1.4014,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.4785,                 1.6764,                 1.2003,                0.48793,                0.39585,                0.30955,                0.15234,                 1.6973,                 1.5363,                  1.368,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.4666,                 1.6695,                 1.1976,                0.23649,                0.31284,                0.27861,                0.13904,                 1.6797,                 1.5908,                 1.3309,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.4284,                 1.6612,                 1.1909,                0.47985,                0.42551,                0.30812,                0.14866,                 1.7141,                 1.6054,                 1.3609,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.4613,                 1.6688,                 1.2087,                0.34291,                0.42163,                0.30684,                 0.1525,                 1.6883,                 1.5672,                 1.3458,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.4528,                  1.647,                 1.2043,                0.34705,                0.46883,                0.33599,                0.16784,                 1.7032,                  1.548,                 1.3778,              0.0009307,              0.0009307,              0.0009307
                     16,                 1.4453,                 1.6044,                 1.1937,                0.31142,                0.44627,                0.31098,                0.15299,                 1.7378,                 1.5532,                 1.4018,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.4397,                 1.5901,                 1.1913,                0.40828,                0.41711,                0.33738,                0.17165,                 1.6682,                  1.462,                 1.3329,              0.0009208,              0.0009208,              0.0009208
                     18,                 1.4301,                 1.6009,                 1.1841,                0.44583,                0.43562,                0.36263,                0.18068,                 1.6874,                 1.3828,                 1.3827,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.4114,                 1.5521,                 1.1801,                0.48613,                0.43697,                0.35213,                0.17551,                 1.6959,                 1.4616,                 1.3786,              0.0009109,              0.0009109,              0.0009109
                     20,                 1.4272,                 1.5676,                  1.174,                0.38753,                0.43425,                 0.3401,                0.17038,                 1.6893,                 1.4332,                 1.3648,             0.00090595,             0.00090595,             0.00090595
                     21,                 1.4281,                  1.561,                 1.1793,                0.36387,                 0.4607,                 0.3637,                0.17853,                 1.6768,                 1.4353,                 1.3647,               0.000901,               0.000901,               0.000901
                     22,                 1.3935,                 1.6088,                  1.164,                 0.3399,                0.38383,                0.34194,                0.17749,                 1.6405,                 1.4538,                 1.3395,             0.00089605,             0.00089605,             0.00089605
                     23,                 1.4085,                 1.5577,                 1.1655,                0.35253,                0.46941,                0.34713,                0.17118,                 1.6825,                 1.4241,                 1.3621,              0.0008911,              0.0008911,              0.0008911
                     24,                 1.3997,                 1.5228,                 1.1567,                0.38135,                0.45516,                0.36448,                0.18028,                 1.6778,                 1.4592,                 1.3714,             0.00088615,             0.00088615,             0.00088615
                     25,                 1.4019,                 1.5427,                  1.158,                 0.4184,                0.38576,                0.33481,                  0.173,                 1.6525,                 1.4275,                 1.3427,              0.0008812,              0.0008812,              0.0008812
                     26,                 1.3634,                 1.5199,                 1.1382,                0.33318,                0.46182,                0.35976,                0.18594,                  1.672,                 1.4771,                 1.3465,             0.00087625,             0.00087625,             0.00087625
                     27,                 1.3989,                 1.5468,                 1.1659,                0.38117,                 0.4286,                0.36549,                 0.1874,                  1.696,                  1.413,                 1.3692,              0.0008713,              0.0008713,              0.0008713
                     28,                 1.3915,                 1.5123,                 1.1706,                0.37234,                0.50105,                0.37706,                0.19165,                 1.6736,                  1.351,                 1.3708,             0.00086635,             0.00086635,             0.00086635
                     29,                 1.3695,                 1.4632,                 1.1521,                0.41091,                0.46021,                0.35397,                0.18079,                 1.6692,                 1.4206,                 1.3426,              0.0008614,              0.0008614,              0.0008614
                     30,                 1.3787,                 1.4564,                 1.1506,                0.37885,                0.48346,                0.37545,                0.18923,                 1.6589,                 1.4243,                 1.3252,             0.00085645,             0.00085645,             0.00085645
                     31,                 1.3731,                 1.4719,                 1.1613,                 0.3748,                0.45607,                0.35542,                0.17936,                 1.6718,                 1.4431,                  1.353,              0.0008515,              0.0008515,              0.0008515
                     32,                 1.3612,                 1.4689,                 1.1464,                0.43138,                0.45543,                0.40535,                0.20081,                 1.6745,                  1.336,                 1.3456,             0.00084655,             0.00084655,             0.00084655
                     33,                 1.3726,                 1.4551,                 1.1608,                0.45582,                0.47432,                0.38774,                0.19061,                 1.6638,                 1.4471,                 1.3557,              0.0008416,              0.0008416,              0.0008416
                     34,                 1.3551,                 1.4571,                 1.1439,                0.40189,                0.45839,                0.38689,                0.19583,                 1.6783,                  1.324,                 1.3439,             0.00083665,             0.00083665,             0.00083665
                     35,                 1.3733,                 1.4569,                 1.1524,                 0.4686,                 0.4146,                0.38745,                0.19854,                 1.6684,                 1.2953,                 1.3418,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.3674,                 1.4845,                 1.1519,                0.41359,                0.47451,                  0.408,                0.20376,                 1.6669,                 1.2834,                 1.3432,             0.00082675,             0.00082675,             0.00082675
                     37,                 1.3825,                 1.4774,                 1.1623,                0.41371,                0.49681,                0.39212,                0.19611,                 1.6514,                 1.4011,                 1.3402,              0.0008218,              0.0008218,              0.0008218
                     38,                 1.3731,                 1.4512,                 1.1653,                0.45547,                 0.4231,                0.36444,                0.18509,                 1.6916,                 1.4168,                 1.3628,             0.00081685,             0.00081685,             0.00081685
                     39,                 1.3405,                 1.4054,                 1.1379,                0.42676,                0.49546,                0.36218,                0.19255,                 1.6712,                  1.435,                 1.3631,              0.0008119,              0.0008119,              0.0008119
                     40,                 1.3452,                 1.5069,                 1.1376,                 0.4158,                0.49791,                0.39595,                0.20306,                  1.665,                  1.398,                 1.3503,             0.00080695,             0.00080695,             0.00080695
                     41,                 1.3475,                 1.4393,                 1.1434,                0.42542,                0.48061,                  0.375,                0.19002,                 1.6686,                 1.4502,                 1.3499,               0.000802,               0.000802,               0.000802
                     42,                 1.3574,                 1.4411,                 1.1542,                0.39473,                0.47303,                0.38197,                0.19629,                 1.6535,                 1.3275,                 1.3278,             0.00079705,             0.00079705,             0.00079705
                     43,                 1.3438,                 1.3927,                 1.1306,                0.39809,                 0.5001,                0.37755,                0.19636,                 1.6724,                 1.3685,                 1.3447,              0.0007921,              0.0007921,              0.0007921
                     44,                 1.3511,                 1.4175,                 1.1432,                0.39519,                0.46462,                0.37756,                0.19483,                 1.6819,                 1.4264,                 1.3555,             0.00078715,             0.00078715,             0.00078715
                     45,                 1.3314,                 1.3895,                 1.1232,                0.42836,                0.42736,                0.37762,                0.18979,                 1.6652,                 1.3846,                 1.3544,              0.0007822,              0.0007822,              0.0007822
                     46,                 1.3263,                  1.403,                 1.1314,                0.39039,                0.49751,                0.38769,                0.19912,                 1.6678,                  1.278,                 1.3486,             0.00077725,             0.00077725,             0.00077725
                     47,                 1.3344,                 1.3956,                 1.1307,                0.46534,                0.49063,                0.39799,                0.20697,                 1.6638,                 1.3003,                 1.3481,              0.0007723,              0.0007723,              0.0007723
                     48,                 1.3173,                 1.4216,                 1.1278,                0.43513,                0.49203,                  0.384,                 0.1962,                 1.6668,                 1.3274,                 1.3515,             0.00076735,             0.00076735,             0.00076735
                     49,                 1.3232,                 1.4054,                 1.1302,                0.39779,                0.49892,                0.38939,                0.19894,                  1.689,                 1.3122,                 1.3627,              0.0007624,              0.0007624,              0.0007624
                     50,                 1.3247,                 1.3647,                 1.1321,                0.38611,                0.49518,                0.38463,                0.20067,                 1.6855,                 1.2776,                 1.3581,             0.00075745,             0.00075745,             0.00075745
                     51,                 1.2979,                  1.374,                 1.1252,                0.46211,                0.47186,                0.39437,                0.20473,                  1.666,                 1.2539,                 1.3546,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.3183,                 1.3597,                  1.127,                0.44504,                0.47672,                0.38199,                0.19805,                 1.6496,                 1.3459,                 1.3504,             0.00074755,             0.00074755,             0.00074755
                     53,                 1.3046,                 1.3601,                  1.114,                0.44576,                0.51885,                0.41973,                 0.2115,                 1.6806,                 1.3419,                 1.3592,              0.0007426,              0.0007426,              0.0007426
                     54,                 1.3065,                 1.3685,                 1.1222,                0.46282,                0.47942,                 0.3914,                0.19946,                 1.6792,                 1.3687,                 1.3602,             0.00073765,             0.00073765,             0.00073765
                     55,                   1.33,                 1.3404,                 1.1326,                0.40923,                 0.4889,                0.37193,                0.19277,                 1.6789,                 1.3198,                 1.3556,              0.0007327,              0.0007327,              0.0007327
                     56,                 1.3049,                 1.3918,                 1.1097,                0.38064,                0.48928,                0.37463,                0.19925,                 1.6563,                  1.305,                 1.3327,             0.00072775,             0.00072775,             0.00072775
                     57,                  1.307,                 1.3739,                 1.1096,                0.39159,                0.47866,                0.38574,                0.20027,                 1.6655,                 1.3702,                 1.3403,              0.0007228,              0.0007228,              0.0007228
                     58,                 1.3021,                 1.3751,                 1.1186,                0.41515,                0.43505,                0.37779,                0.19764,                  1.656,                 1.2464,                 1.3369,             0.00071785,             0.00071785,             0.00071785
                     59,                 1.2734,                  1.346,                  1.108,                0.44494,                0.47316,                0.38838,                0.19874,                 1.6679,                 1.2945,                 1.3541,              0.0007129,              0.0007129,              0.0007129
                     60,                 1.3094,                 1.3514,                 1.1208,                0.45798,                0.46626,                0.38381,                0.20411,                 1.6605,                 1.3224,                 1.3387,             0.00070795,             0.00070795,             0.00070795
                     61,                 1.3146,                 1.3322,                 1.1227,                0.46834,                0.46904,                0.39288,                0.20281,                 1.6761,                 1.3329,                 1.3492,               0.000703,               0.000703,               0.000703
                     62,                 1.2788,                 1.3229,                 1.1072,                0.43058,                 0.4716,                0.37662,                0.19988,                 1.6517,                 1.3447,                 1.3515,             0.00069805,             0.00069805,             0.00069805
                     63,                 1.2999,                 1.3137,                 1.1107,                0.48199,                0.43524,                0.38353,                0.19773,                 1.6885,                 1.2785,                  1.347,              0.0006931,              0.0006931,              0.0006931
                     64,                 1.3023,                 1.3288,                 1.1143,                0.45475,                0.48546,                0.37945,                0.19188,                 1.6522,                 1.3883,                 1.3332,             0.00068815,             0.00068815,             0.00068815
                     65,                 1.2873,                 1.3243,                 1.1111,                0.46852,                0.48429,                0.39567,                0.19913,                 1.6798,                 1.3727,                 1.3516,              0.0006832,              0.0006832,              0.0006832
                     66,                 1.3052,                 1.3288,                 1.1183,                0.42107,                0.48661,                0.39441,                0.20179,                 1.6714,                 1.2781,                 1.3503,             0.00067825,             0.00067825,             0.00067825
                     67,                 1.2967,                 1.3741,                 1.1127,                0.45283,                0.50443,                0.39952,                 0.2089,                 1.6653,                 1.2952,                 1.3583,              0.0006733,              0.0006733,              0.0006733
                     68,                 1.2876,                 1.3182,                 1.1046,                0.43714,                 0.4916,                0.39511,                0.20446,                 1.6589,                 1.2455,                 1.3411,             0.00066835,             0.00066835,             0.00066835
                     69,                 1.2753,                 1.3145,                 1.1092,                0.43848,                0.48806,                0.38773,                0.19604,                 1.6663,                 1.3228,                  1.348,              0.0006634,              0.0006634,              0.0006634
                     70,                 1.2796,                  1.296,                 1.1123,                0.48398,                0.48369,                0.41266,                0.20781,                 1.6654,                 1.2924,                 1.3594,             0.00065845,             0.00065845,             0.00065845
                     71,                 1.2752,                 1.2979,                 1.1044,                0.42953,                0.49254,                0.39045,                0.20304,                 1.6585,                  1.267,                 1.3461,              0.0006535,              0.0006535,              0.0006535
                     72,                 1.2637,                 1.2825,                 1.0898,                0.44727,                0.44694,                0.38279,                 0.1981,                 1.6828,                 1.3199,                 1.3627,             0.00064855,             0.00064855,             0.00064855
                     73,                 1.2615,                 1.2825,                 1.0992,                0.40962,                0.50336,                0.38623,                0.20072,                 1.6638,                 1.2931,                 1.3595,              0.0006436,              0.0006436,              0.0006436
                     74,                 1.2516,                  1.309,                 1.0902,                0.40897,                0.44295,                0.36828,                0.19769,                 1.6505,                 1.2741,                 1.3562,             0.00063865,             0.00063865,             0.00063865
                     75,                 1.2674,                 1.2957,                 1.0958,                0.42593,                0.49231,                0.38917,                0.20063,                 1.6669,                 1.2849,                 1.3465,              0.0006337,              0.0006337,              0.0006337
                     76,                 1.2579,                 1.2775,                 1.1016,                0.45002,                0.50627,                0.39573,                0.20672,                 1.6453,                 1.2734,                 1.3397,             0.00062875,             0.00062875,             0.00062875
                     77,                 1.2614,                 1.2752,                 1.0939,                0.47169,                0.49032,                0.38758,                  0.203,                 1.6694,                 1.3176,                 1.3575,              0.0006238,              0.0006238,              0.0006238
                     78,                 1.2479,                 1.2497,                 1.0884,                0.47256,                0.47027,                0.38334,                0.20103,                 1.6531,                 1.2869,                 1.3485,             0.00061885,             0.00061885,             0.00061885
                     79,                 1.2636,                 1.2966,                 1.1084,                0.39959,                0.46924,                0.38185,                0.20192,                 1.6597,                 1.3002,                 1.3376,              0.0006139,              0.0006139,              0.0006139
                     80,                 1.2382,                 1.2326,                 1.0878,                0.46411,                0.49577,                0.38396,                0.19621,                 1.6515,                 1.2848,                 1.3521,             0.00060895,             0.00060895,             0.00060895
                     81,                 1.2675,                 1.2866,                 1.1086,                0.46007,                0.49616,                0.39102,                0.20565,                  1.671,                 1.3191,                 1.3646,               0.000604,               0.000604,               0.000604
                     82,                 1.2764,                 1.2662,                 1.0973,                0.46286,                0.48737,                0.39929,                0.20047,                 1.6752,                 1.3029,                 1.3507,             0.00059905,             0.00059905,             0.00059905
                     83,                 1.2607,                 1.2934,                 1.0893,                0.48941,                0.48294,                0.39947,                0.20312,                 1.6686,                 1.3131,                 1.3433,              0.0005941,              0.0005941,              0.0005941
                     84,                  1.245,                 1.2515,                 1.0861,                0.41925,                 0.4913,                0.38027,                0.19818,                  1.666,                 1.2649,                 1.3594,             0.00058915,             0.00058915,             0.00058915
                     85,                 1.2655,                 1.2682,                 1.0978,                0.42082,                0.48432,                0.38243,                0.19901,                 1.6679,                  1.264,                 1.3381,              0.0005842,              0.0005842,              0.0005842
                     86,                 1.2254,                 1.2454,                 1.0749,                0.43755,                0.50562,                0.39064,                0.20603,                 1.6771,                 1.2657,                 1.3649,             0.00057925,             0.00057925,             0.00057925
                     87,                 1.2494,                  1.251,                 1.0856,                0.43889,                0.47633,                0.38951,                0.20486,                  1.655,                 1.2431,                 1.3662,              0.0005743,              0.0005743,              0.0005743
                     88,                 1.2433,                  1.231,                  1.084,                0.47439,                0.50327,                0.40396,                0.21253,                 1.6729,                 1.2578,                 1.3667,             0.00056935,             0.00056935,             0.00056935
                     89,                  1.216,                  1.212,                 1.0748,                0.40217,                0.47521,                0.38471,                0.19889,                 1.6696,                 1.3172,                 1.3545,              0.0005644,              0.0005644,              0.0005644
                     90,                 1.2505,                  1.221,                 1.0807,                0.47105,                0.46403,                0.39248,                0.20363,                 1.6699,                 1.3153,                 1.3646,             0.00055945,             0.00055945,             0.00055945
                     91,                 1.2353,                 1.2056,                 1.0858,                0.48862,                0.45045,                0.39874,                0.20367,                 1.6762,                 1.2687,                 1.3584,              0.0005545,              0.0005545,              0.0005545
                     92,                 1.2279,                 1.2199,                 1.0836,                0.43165,                0.48038,                0.38864,                0.20116,                 1.6772,                 1.2828,                 1.3579,             0.00054955,             0.00054955,             0.00054955
                     93,                 1.2237,                   1.19,                  1.076,                0.45089,                0.47937,                 0.3791,                0.19896,                 1.6721,                 1.3207,                  1.368,              0.0005446,              0.0005446,              0.0005446
                     94,                  1.233,                 1.2269,                  1.082,                0.43139,                0.46939,                0.38455,                 0.2013,                 1.6616,                 1.2955,                 1.3423,             0.00053965,             0.00053965,             0.00053965
                     95,                 1.2237,                 1.1984,                 1.0761,                0.46354,                0.44409,                0.38852,                0.19889,                 1.6832,                 1.2629,                 1.3606,              0.0005347,              0.0005347,              0.0005347
                     96,                  1.219,                  1.205,                 1.0785,                0.41807,                0.47226,                0.38107,                0.20062,                 1.6697,                 1.2863,                 1.3669,             0.00052975,             0.00052975,             0.00052975
                     97,                 1.2187,                 1.1806,                 1.0832,                0.42844,                0.48882,                0.38536,                0.19879,                 1.6732,                 1.3204,                 1.3536,              0.0005248,              0.0005248,              0.0005248
                     98,                 1.2154,                 1.1797,                 1.0809,                0.43648,                0.48544,                0.38532,                0.19995,                 1.6745,                 1.3398,                 1.3547,             0.00051985,             0.00051985,             0.00051985
                     99,                 1.2095,                 1.2105,                 1.0681,                0.45205,                0.48058,                0.39163,                0.20555,                 1.6721,                 1.2825,                 1.3509,              0.0005149,              0.0005149,              0.0005149
                    100,                  1.235,                  1.216,                 1.0823,                0.42215,                0.44134,                0.37146,                0.19015,                 1.6838,                 1.3402,                 1.3531,             0.00050995,             0.00050995,             0.00050995
                    101,                 1.2176,                 1.1655,                  1.068,                0.41571,                0.49421,                0.37926,                0.19395,                 1.6992,                 1.3237,                 1.3795,               0.000505,               0.000505,               0.000505
                    102,                 1.2008,                 1.1771,                 1.0734,                0.44174,                0.45133,                0.37325,                0.19271,                 1.6705,                 1.3338,                 1.3529,             0.00050005,             0.00050005,             0.00050005
                    103,                 1.2141,                 1.1803,                   1.07,                0.42856,                0.43595,                0.38054,                0.19404,                 1.7029,                 1.3145,                 1.3631,              0.0004951,              0.0004951,              0.0004951
                    104,                 1.2214,                 1.2436,                  1.074,                0.42728,                0.46917,                 0.3727,                0.19578,                 1.7128,                  1.294,                 1.3792,             0.00049015,             0.00049015,             0.00049015
                    105,                 1.2115,                 1.1713,                 1.0656,                0.45127,                0.43069,                 0.3749,                0.19634,                 1.7047,                 1.3055,                 1.3812,              0.0004852,              0.0004852,              0.0004852
                    106,                  1.198,                  1.135,                 1.0612,                0.44022,                0.46315,                0.39059,                0.20501,                 1.6841,                 1.2969,                 1.3567,             0.00048025,             0.00048025,             0.00048025
                    107,                 1.2211,                 1.1732,                  1.068,                0.41429,                0.48511,                0.38583,                0.20196,                 1.6885,                 1.2867,                 1.3558,              0.0004753,              0.0004753,              0.0004753
                    108,                 1.1954,                 1.1437,                 1.0671,                0.43036,                0.46674,                0.38684,                0.20017,                 1.6694,                 1.2683,                 1.3546,             0.00047035,             0.00047035,             0.00047035
                    109,                 1.2095,                 1.1666,                 1.0734,                0.47122,                0.48616,                0.38291,                0.19889,                 1.7024,                 1.3096,                 1.3682,              0.0004654,              0.0004654,              0.0004654
                    110,                  1.194,                 1.1202,                 1.0699,                0.42643,                0.49812,                0.38166,                0.19912,                 1.6984,                 1.3034,                 1.3635,             0.00046045,             0.00046045,             0.00046045
                    111,                 1.1883,                 1.1395,                 1.0586,                0.42908,                0.49889,                 0.3821,                0.19533,                 1.6986,                 1.3073,                 1.3554,              0.0004555,              0.0004555,              0.0004555
                    112,                 1.1909,                 1.1312,                 1.0624,                0.43677,                0.48142,                0.37763,                0.19303,                   1.71,                 1.3118,                  1.368,             0.00045055,             0.00045055,             0.00045055
                    113,                 1.1785,                 1.1647,                 1.0629,                0.42811,                0.47447,                 0.3894,                0.19931,                 1.6982,                 1.2982,                  1.372,              0.0004456,              0.0004456,              0.0004456
                    114,                 1.1883,                 1.1383,                 1.0627,                0.40124,                0.46916,                 0.3738,                0.19818,                 1.7059,                  1.288,                 1.3654,             0.00044065,             0.00044065,             0.00044065
                    115,                  1.182,                 1.1318,                 1.0607,                0.40584,                0.46995,                0.37823,                0.19387,                 1.6988,                 1.3072,                 1.3691,              0.0004357,              0.0004357,              0.0004357
                    116,                 1.1866,                 1.1133,                 1.0504,                 0.4379,                0.46131,                0.38596,                 0.1981,                 1.6919,                 1.3102,                 1.3659,             0.00043075,             0.00043075,             0.00043075
                    117,                 1.1733,                  1.111,                  1.057,                0.43084,                0.44216,                0.38003,                0.20169,                 1.6849,                 1.2969,                  1.357,              0.0004258,              0.0004258,              0.0004258
                    118,                 1.1859,                 1.1058,                 1.0562,                   0.37,                0.46086,                0.36922,                0.19699,                 1.6838,                 1.2731,                 1.3499,             0.00042085,             0.00042085,             0.00042085
                    119,                 1.1767,                 1.0846,                 1.0541,                0.38743,                0.46134,                0.37309,                0.19459,                  1.691,                 1.2966,                 1.3533,              0.0004159,              0.0004159,              0.0004159
                    120,                 1.1587,                 1.0976,                 1.0568,                 0.4086,                0.43933,                0.36591,                0.19101,                 1.7021,                 1.3199,                 1.3664,             0.00041095,             0.00041095,             0.00041095
                    121,                 1.1761,                 1.0978,                  1.052,                0.40401,                0.45266,                0.37277,                0.19565,                 1.7008,                 1.2987,                 1.3757,               0.000406,               0.000406,               0.000406
                    122,                 1.1745,                   1.07,                 1.0531,                0.42439,                0.43993,                0.37576,                 0.1957,                 1.6977,                 1.3128,                 1.3737,             0.00040105,             0.00040105,             0.00040105
                    123,                 1.1513,                 1.0996,                 1.0456,                  0.409,                0.44186,                 0.3746,                0.19551,                  1.692,                 1.3059,                 1.3678,              0.0003961,              0.0003961,              0.0003961
                    124,                 1.1517,                 1.0841,                 1.0459,                0.39906,                0.43704,                0.37408,                0.19473,                 1.6989,                 1.3216,                 1.3704,             0.00039115,             0.00039115,             0.00039115
                    125,                 1.1482,                 1.1057,                 1.0518,                0.42813,                0.43311,                0.36417,                0.19649,                 1.6959,                 1.3112,                 1.3775,              0.0003862,              0.0003862,              0.0003862
                    126,                 1.1703,                 1.0898,                 1.0535,                0.42912,                0.42821,                0.37184,                0.19784,                 1.7006,                  1.302,                 1.3799,             0.00038125,             0.00038125,             0.00038125
                    127,                 1.1516,                 1.0365,                 1.0478,                0.42235,                0.45284,                0.37139,                0.19241,                 1.6991,                 1.3182,                 1.3718,              0.0003763,              0.0003763,              0.0003763
                    128,                 1.1386,                 1.0383,                 1.0346,                0.42998,                0.44938,                0.37176,                0.19599,                 1.7099,                 1.3352,                 1.3849,             0.00037135,             0.00037135,             0.00037135
                    129,                 1.1424,                 1.0227,                 1.0463,                 0.4171,                0.45117,                0.37698,                0.19657,                  1.701,                 1.3191,                 1.3831,              0.0003664,              0.0003664,              0.0003664
                    130,                 1.1557,                 1.0389,                 1.0447,                0.42879,                0.44245,                 0.3658,                0.19426,                 1.7004,                 1.3133,                 1.3843,             0.00036145,             0.00036145,             0.00036145
                    131,                 1.1396,                  1.064,                 1.0364,                0.41676,                0.44012,                 0.3761,                0.19427,                 1.6997,                 1.3152,                 1.3809,              0.0003565,              0.0003565,              0.0003565
                    132,                 1.1407,                 1.0342,                 1.0424,                0.40954,                 0.4413,                0.36907,                0.19557,                 1.7011,                 1.3151,                 1.3788,             0.00035155,             0.00035155,             0.00035155
                    133,                 1.1304,                 1.0249,                 1.0365,                0.40486,                0.42686,                0.36854,                0.19011,                 1.7013,                 1.3265,                 1.3849,              0.0003466,              0.0003466,              0.0003466
                    134,                 1.1314,                 1.0235,                 1.0412,                0.40996,                0.45396,                 0.3707,                0.19158,                 1.7125,                 1.3258,                 1.3895,             0.00034165,             0.00034165,             0.00034165
                    135,                 1.1283,                 1.0295,                  1.045,                0.41256,                 0.4341,                0.36155,                0.18823,                 1.7234,                 1.3371,                 1.3929,              0.0003367,              0.0003367,              0.0003367
                    136,                 1.1355,                  1.018,                 1.0383,                0.39318,                0.45815,                0.36673,                0.19136,                 1.7179,                 1.3304,                 1.3906,             0.00033175,             0.00033175,             0.00033175
                    137,                 1.1321,                 1.0056,                 1.0387,                0.40836,                0.44763,                0.36169,                0.18882,                 1.7277,                 1.3511,                 1.3941,              0.0003268,              0.0003268,              0.0003268
                    138,                 1.1179,                0.99357,                 1.0296,                0.41224,                0.42091,                 0.3653,                0.19197,                 1.7168,                 1.3215,                  1.381,             0.00032185,             0.00032185,             0.00032185
                    139,                 1.1282,                 1.0437,                 1.0336,                0.39163,                0.49907,                0.36645,                0.19088,                 1.7133,                 1.3119,                 1.3836,              0.0003169,              0.0003169,              0.0003169
                    140,                 1.1222,                0.98244,                 1.0404,                0.41121,                0.45465,                0.36631,                0.19007,                   1.71,                 1.3222,                 1.3747,             0.00031195,             0.00031195,             0.00031195
                    141,                 1.1166,                0.99142,                 1.0264,                0.43679,                0.43987,                0.37069,                0.19269,                 1.7129,                 1.3354,                 1.3801,               0.000307,               0.000307,               0.000307
                    142,                  1.109,                 1.0194,                 1.0364,                0.42126,                0.42157,                0.35588,                0.18887,                 1.7145,                 1.3593,                 1.3815,             0.00030205,             0.00030205,             0.00030205
                    143,                 1.1004,                 1.0064,                 1.0213,                0.42129,                0.42569,                0.36119,                0.19074,                 1.7226,                  1.329,                 1.3928,              0.0002971,              0.0002971,              0.0002971
                    144,                 1.1083,                 1.0335,                 1.0256,                0.41782,                0.44032,                 0.3582,                0.18896,                 1.7174,                 1.3394,                 1.3902,             0.00029215,             0.00029215,             0.00029215
                    145,                 1.1005,                0.97805,                 1.0277,                0.43614,                0.42668,                0.36295,                0.18982,                 1.7081,                 1.3554,                  1.386,              0.0002872,              0.0002872,              0.0002872
                    146,                 1.1162,                 1.0106,                 1.0282,                0.41196,                0.44162,                0.36499,                0.19069,                 1.7141,                 1.3432,                 1.3876,             0.00028225,             0.00028225,             0.00028225
                    147,                 1.0983,                0.96738,                 1.0251,                0.37769,                0.44738,                 0.3559,                0.18477,                 1.7228,                 1.3312,                 1.3932,              0.0002773,              0.0002773,              0.0002773
                    148,                 1.0963,                0.98592,                 1.0189,                0.38851,                0.48266,                0.36226,                0.18955,                 1.7214,                 1.3186,                 1.3984,             0.00027235,             0.00027235,             0.00027235
                    149,                 1.1049,                0.98965,                 1.0188,                0.38724,                0.45883,                0.35642,                0.18747,                 1.7164,                 1.3403,                 1.3907,              0.0002674,              0.0002674,              0.0002674
                    150,                 1.0965,                0.96532,                 1.0134,                0.42986,                0.43511,                0.36132,                0.18755,                 1.7261,                  1.332,                 1.3942,             0.00026245,             0.00026245,             0.00026245
                    151,                 1.0823,                0.93647,                 1.0107,                0.39471,                0.45155,                0.36206,                0.18831,                 1.7237,                 1.3633,                 1.3971,              0.0002575,              0.0002575,              0.0002575
                    152,                  1.095,                0.95279,                 1.0133,                0.38702,                0.44678,                0.35832,                0.18844,                 1.7238,                  1.347,                 1.4005,             0.00025255,             0.00025255,             0.00025255
                    153,                 1.0832,                0.95847,                 1.0154,                0.39794,                0.46808,                0.36011,                0.18793,                 1.7239,                 1.3418,                 1.4005,              0.0002476,              0.0002476,              0.0002476
